Unique_Query_ID,Model_Index,nparents,nzr,zdr,cardinality,Iteration,cause,effect,query,Method,Estimate,exact_result,Time,Acceptance_Rate
M0_PN_V2_V0,0,2,8,10,2,1000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4406556491047299, 0.5527797822359539]","[0.1450958357819677, 0.2995194944053209]",1.7966537475585938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,2000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4259844119805282, 0.6110260671408538]","[0.3408877774546624, 1.0]",3.4018592834472656,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,2000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5344263860586438, 0.6581881011627734]","[0.3884680984577254, 0.8019097709840313]",3.4018592834472656,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,2000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.28595663026856644, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",3.4018592834472656,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,2000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42863049085268845, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",3.4018592834472656,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,3000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4259844119805282, 0.6110260671408538]","[0.3408877774546624, 1.0]",5.175969362258911,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,3000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5344263860586438, 0.6581881011627734]","[0.3884680984577254, 0.8019097709840313]",5.175969362258911,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,3000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.28570729507659803, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",5.175969362258911,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,8,10,2,3000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.42863049085268845, 0.5717076794806162]","[0.1450958357819677, 0.2995194944053209]",5.175969362258911,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,4000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4259844119805282, 0.6110260671408538]","[0.3408877774546624, 1.0]",6.800740718841553,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
